Nr_ME1,Bezeichnung_ME1
21011,Kopenhagen
21012,Seeland Süd
21013,Bornholm
21014,Fünen
21015,Jütland Süd
21016,Jütland Nord
22001,Norwegen
23011,Stockholm/Mittelschweden Ost
23012,Göteborg/Mittelschweden West
23013,Malmö/Südschweden
23014,Nordschweden
24001,Finnland
29001,Island
31011,Amsterdam/Nordholland
31012,Utrecht
31013,Rotterdam/Südholland
31014,Zeeland
31021,Groningen
31022,Winschoten
31023,Emmen
31024,Drenthe West
31025,Friesland
31031,Arnhem/Nijmegen
31032,Apeldoorn
31033,Flevoland
31034,Zwolle
31035,Enschede
31036,Gelderland Ost
31041,Eindhoven/Nordbrabant Ost
31042,Venlo
31043,Roermond
31044,Maastricht
31045,Nordbrabant West
32011,Brüssel
32012,Antwerpen
32013,Hasselt
32014,Ostflandern
32015,Westflandern
32021,Hainaut
32022,Brabant Süd
32023,Namur
32024,Lüttich
32025,Eupen/Malmedy
32026,Belgisch-Luxembourg
33001,Luxemburg
36011,London/Südostengland
36012,Großbritannien Rest
37001,Irland
41011,Paris
41021,Picardie
41022,Champagne/Ardenne
41023,Bourgogne
41024,Normandie/Centre
41031,Lille
41041,Nancy/Lothringen Süd/West
41042,Metz/Moselle
41043,Strasbourg/ Bas Rhin
41044,Mulhouse/ Haut Rhin
41045,Franche Comte
41051,Auvergne/Rhone-Alpes
41052,Frankreich Mittelmeerküste
41053,Südwestfrankreich
41054,Westfrankreich
42001,Spanien
43001,Portugal
51011,Basel-Stadt
51012,Basel-Landschaft
51013,Aargau
51014,Zürich
51015,Schaffhausen
51016,Thurgau
51017,St. Gallen
51018,Chur
51019,Zentralschweiz
51021,Bern
51022,Genf/Lausanne/Wallis
51023,Tessin
51901,Liechtenstein
52011,Wien/Österreich Ost
52012,Steiermark
52013,Kärnten
52014,Linz
52015,Innviertel
52016,Salzburg
52017,Bischofshofen
52021,Tiroler Unterland
52022,Osttirol
52023,Innsbruck
52024,Tiroler Oberland
52025,Außerfern
52026,Vorarlberg Ost
52027,Bregenz
53011,Mailand
53012,Turin
53013,Genua
53021,Bozen
53022,Trient
53023,Venedig
53024,Triest
53025,Bologna
53031,Rom/Mittelitalien
53032,Italien Süd
55001,Slowenien
56001,Kroatien
57001,Griechenland
59101,Serbien
59201,Kosovo
59301,Bosnien Herzegowina
59401,Mazedonien
59501,Montenegro
59901,Albanien
61011,Budapest
61012,Ungarn West
61013,Ungarn Ost
62001,Rumänien
63001,Bulgarien
68001,Zypern
69001,Türkei
71011,Prag
71012,Budweis
71013,Pilsen
71014,Karlsbad
71015,Aussig
71016,Liberec
71017,Hradec-Kralove
71018,Brünn
71019,Ostrava
72011,Bratislava/Slowakei West
72012,Slowakei Mitte/Ost
73011,Warschau
73012,Lublin
73013,Krakau/Kattowitz
73021,Oppeln
73022,Breslau
73023,Liegnitz
73031,Posen
73032,Grünberg (PL)
73033,Landsberg (PL)
73034,Stettin
73035,Stettin-Umland
73036,Köslin
73041,Danzig/Nordpolen
74101,Litauen
74201,Lettland
74301,Estland
75011,Rußland (ohne Kaliningrad)
75012,Kaliningrad
76101,Weißrussland
76201,Ukraine
76301,Moldavien
77101,Georgien
77201,Armenien
77301,Aserbaidschan
